query,topIntent
G'day,SayHello2Bot
HI,SayHello2Bot
Good even,SayHello2Bot
How are you?,SayHello2Bot
hi there,SayHello2Bot
hi,SayHello2Bot
good day,SayHello2Bot
howdy there,SayHello2Bot
good afternoon,SayHello2Bot
here botty botty botty!,SayHello2Bot
Hi,SayHello2Bot
Hey,SayHello2Bot
Hi Coffee Bot,SayHello2Bot
oi you,SayHello2Bot
Are you there?,SayHello2Bot
G'day Bot,SayHello2Bot
hey there,SayHello2Bot
Good morning,SayHello2Bot
hey,SayHello2Bot
hello there,SayHello2Bot
Good Evening,SayHello2Bot
howdy,SayHello2Bot
Hello Botman,SayHello2Bot
bugger off,SayGoodbye2Bot
see you later,SayGoodbye2Bot
bye now,SayGoodbye2Bot
ciao!,SayGoodbye2Bot
cheers,SayGoodbye2Bot
next time,SayGoodbye2Bot
thanks for the help,SayGoodbye2Bot
see ya,SayGoodbye2Bot
bye,SayGoodbye2Bot
goodbye,SayGoodbye2Bot
