query,topIntent
What food is available?,OrderFood
are you serving lunch?,OrderFood
can I get a sandwich?,OrderFood
What cakes do you have?,OrderFood
I would like a blueberry muffin,OrderFood
do you have any meat pies?,OrderFood
can I get a biscuit with my coffee please?,OrderFood
can I see your food menu please?,OrderFood
I'm really hungry!,OrderFood
what snacks can I have with my coffee?,OrderFood
do you have any bagels?,OrderFood
Do you have any healthy food?,OrderFood
can I get a couple of blueberry muffins with my coffee please!,OrderFood
can  I get a hot chicken roll with my coffee please?,OrderFood
I would really like a piece of black forest cake,OrderFood
a coffee and 2 slices of banana bread please!,OrderFood
what munchies do you have?,OrderFood
